"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
278.15,1,1.5778,1.7778,0,5
278.15,1,1.5876,1.7876,0,5
278.15,1,1.5974,1.7974,0,5
278.15,1,1.6072,1.8072,0,5
278.15,1,1.617,1.817,0,5
278.15,1,1.6268,1.8268,0,5
278.15,1,1.6366,1.8366,0,5
278.15,1,1.6464,1.8464,0,5
278.15,1,1.6562,1.8562,0,5
278.15,1,1.666,1.866,0,5
278.15,1,1.6758,1.8758,0,5
278.15,1,1.6856,1.8856,0,5
278.15,1,1.6954,1.8954,0,5
278.15,1,1.7052,1.9052,0,5
278.15,1,1.715,1.915,0,5
278.15,1,1.7248,1.9248,0,5
278.15,1,1.7346,1.9346,0,5
278.15,1,1.7444,1.9444,0,5
278.15,1,1.7542,1.9542,0,5
278.15,1,1.764,1.964,0,5
278.15,1,1.7738,1.9738,0,5
278.15,1,1.7836,1.9836,0,5
278.15,1,1.7934,1.9934,0,5
278.15,1,1.8032,2.0032,0,5
278.15,1,1.813,2.013,0,5
278.15,1,1.8228,2.0228,0,5
278.15,1,1.8326,2.0326,0,5
278.15,1,1.8424,2.0424,0,5
278.15,1,1.8522,2.0522,0,5
278.15,1,1.862,2.062,0,5
278.15,1,1.8718,2.0718,0,5
278.15,1,1.8816,2.0816,0,5
278.15,1,1.8914,2.0914,0,5
278.15,1,1.9012,2.1012,0,5
278.15,1,1.911,2.111,0,5
278.15,1,1.9208,2.1208,0,5
278.15,1,1.9306,2.1306,0,5
278.15,1,1.9404,2.1404,0,5
278.15,1,1.9502,2.1502,0,5
278.15,1,1.96,2.16,0,5
278.15,1,1.9698,2.1698,0,5
278.15,1,1.9796,2.1796,0,5
278.15,1,1.9894,2.1894,0,5
278.15,1,1.9992,2.1992,0,5
278.15,1,2.009,2.209,0,5
278.15,1,2.0188,2.2188,0,5
278.15,1,2.0286,2.2286,0,5
278.15,1,2.0384,2.2384,0,5
278.15,1,2.0482,2.2482,0,5
278.15,1,2.058,2.258,0,5
278.15,1,2.0678,2.2678,0,5
278.15,1,2.0776,2.2776,0,5
278.15,1,2.0874,2.2874,0,5
278.15,1,2.0972,2.2972,0,5
278.15,1,2.107,2.307,0,5
278.15,1,2.1168,2.3168,0,5
278.15,1,2.1266,2.3266,0,5
278.15,1,2.1364,2.3364,0,5
278.15,1,2.1462,2.3462,0,5
278.15,1,2.156,2.356,0,5
278.15,1,2.1658,2.3658,0,5
278.15,1,2.1756,2.3756,0,5
278.15,1,2.1854,2.3854,0,5
278.15,1,2.1952,2.3952,0,5
278.15,1,2.205,2.405,0,5
278.15,1,2.2148,2.4148,0,5
278.15,1,2.2246,2.4246,0,5
278.15,1,2.2344,2.4344,0,5
278.15,1,2.2442,2.4442,0,5
278.15,1,2.254,2.454,0,5
278.15,1,2.2638,2.4638,0,5
278.15,1,2.2736,2.4736,0,5
278.15,1,2.2834,2.4834,0,5
278.15,1,2.2932,2.4932,0,5
278.15,1,2.303,2.503,0,5
278.15,1,2.3128,2.5128,0,5
278.15,1,2.3226,2.5226,0,5
278.15,1,2.3324,2.5324,0,5
278.15,1,2.3422,2.5422,0,5
278.15,1,2.352,2.552,0,5
278.15,1,2.3618,2.5618,0,5
278.15,1,2.3716,2.5716,0,5
278.15,1,2.3814,2.5814,0,5
278.15,1,2.3912,2.5912,0,5
278.15,1,2.401,2.601,0,5
278.15,1,2.4108,2.6108,0,5
278.15,1,2.4206,2.6206,0,5
278.15,1,2.4304,2.6304,0,5
278.15,1,2.4402,2.6402,0,5
278.15,1,2.45,2.65,0,5
278.15,1,2.4598,2.6598,0,5
278.15,1,2.4696,2.6696,0,5
278.15,1,2.4794,2.6794,0,5
278.15,1,2.4892,2.6892,0,5
278.15,1,2.499,2.699,0,5
278.15,1,2.5088,2.7088,0,5
278.15,1,2.5186,2.7186,0,5
278.15,1,2.5284,2.7284,0,5
278.15,1,2.5382,2.7382,0,5
278.15,1,2.548,2.748,0,5
278.15,1,2.5578,2.7578,0,5
278.15,1,2.5676,2.7676,0,5
278.15,1,2.5774,2.7774,0,5
278.15,1,2.5872,2.7872,0,5
278.15,1,2.597,2.797,0,5
278.15,1,2.6068,2.8068,0,5
278.15,1,2.6166,2.8166,0,5
278.15,1,2.6264,2.8264,0,5
278.15,1,2.6362,2.8362,0,5
278.15,1,2.646,2.846,0,5
278.15,1,2.6558,2.8558,0,5
278.15,1,2.6656,2.8656,0,5
278.15,1,2.6754,2.8754,0,5
