"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
273.15,1,6.8992,7.0992,0,5
273.15,1,6.909,7.109,0,5
273.15,1,6.9188,7.1188,0,5
273.15,1,6.9286,7.1286,0,5
273.15,1,6.9384,7.1384,0,5
273.15,1,6.9482,7.1482,0,5
273.15,1,6.958,7.158,0,5
273.15,1,6.9678,7.1678,0,5
273.15,1,6.9776,7.1776,0,5
273.15,1,6.9874,7.1874,0,5
273.15,1,6.9972,7.1972,0,5
273.15,1,7.007,7.207,0,5
273.15,1,7.0168,7.2168,0,5
273.15,1,7.0266,7.2266,0,5
273.15,1,7.0364,7.2364,0,5
273.15,1,7.0462,7.2462,0,5
273.15,1,7.056,7.256,0,5
273.15,1,7.0658,7.2658,0,5
273.15,1,7.0756,7.2756,0,5
273.15,1,7.0854,7.2854,0,5
273.15,1,7.0952,7.2952,0,5
273.15,1,7.105,7.305,0,5
273.15,1,7.1148,7.3148,0,5
273.15,1,7.1246,7.3246,0,5
273.15,1,7.1344,7.3344,0,5
273.15,1,7.1442,7.3442,0,5
273.15,1,7.154,7.354,0,5
273.15,1,7.1638,7.3638,0,5
273.15,1,7.1736,7.3736,0,5
273.15,1,7.1834,7.3834,0,5
273.15,1,7.1932,7.3932,0,5
273.15,1,7.203,7.403,0,5
273.15,1,7.2128,7.4128,0,5
273.15,1,7.2226,7.4226,0,5
273.15,1,7.2324,7.4324,0,5
273.15,1,7.2422,7.4422,0,5
273.15,1,7.252,7.452,0,5
273.15,1,7.2618,7.4618,0,5
273.15,1,7.2716,7.4716,0,5
273.15,1,7.2814,7.4814,0,5
273.15,1,7.2912,7.4912,0,5
273.15,1,7.301,7.501,0,5
273.15,1,7.3108,7.5108,0,5
273.15,1,7.3206,7.5206,0,5
273.15,1,7.3304,7.5304,0,5
273.15,1,7.3402,7.5402,0,5
273.15,1,7.35,7.55,0,5
273.15,1,7.3598,7.5598,0,5
273.15,1,7.3696,7.5696,0,5
273.15,1,7.3794,7.5794,0,5
273.15,1,7.3892,7.5892,0,5
273.15,1,7.399,7.599,0,5
273.15,1,7.4088,7.6088,0,5
273.15,1,7.4186,7.6186,0,5
273.15,1,7.4284,7.6284,0,5
273.15,1,7.4382,7.6382,0,5
273.15,1,7.448,7.648,0,5
273.15,1,7.4578,7.6578,0,5
273.15,1,7.4676,7.6676,0,5
273.15,1,7.4774,7.6774,0,5
273.15,1,7.4872,7.6872,0,5
273.15,1,7.497,7.697,0,5
273.15,1,7.5068,7.7068,0,5
273.15,1,7.5166,7.7166,0,5
273.15,1,7.5264,7.7264,0,5
273.15,1,7.5362,7.7362,0,5
273.15,1,7.546,7.746,0,5
273.15,1,7.5558,7.7558,0,5
273.15,1,7.5656,7.7656,0,5
273.15,1,7.5754,7.7754,0,5
273.15,1,7.5852,7.7852,0,5
273.15,1,7.595,7.795,0,5
273.15,1,7.6048,7.8048,0,5
273.15,1,7.6146,7.8146,0,5
273.15,1,7.6244,7.8244,0,5
273.15,1,7.6342,7.8342,0,5
273.15,1,7.644,7.844,0,5
273.15,1,7.6538,7.8538,0,5
273.15,1,7.6636,7.8636,0,5
273.15,1,7.6734,7.8734,0,5
273.15,1,7.6832,7.8832,0,5
273.15,1,7.693,7.893,0,5
273.15,1,7.7028,7.9028,0,5
273.15,1,7.7126,7.9126,0,5
273.15,1,7.7224,7.9224,0,5
273.15,1,7.7322,7.9322,0,5
273.15,1,7.742,7.942,0,5
273.15,1,7.7518,7.9518,0,5
273.15,1,7.7616,7.9616,0,5
273.15,1,7.7714,7.9714,0,5
273.15,1,7.7812,7.9812,0,5
273.15,1,7.791,7.991,0,5
273.15,1,7.8008,8.0008,0,5
273.15,1,7.8106,8.0106,0,5
273.15,1,7.8204,8.0204,0,5
273.15,1,7.8302,8.0302,0,5
273.15,1,7.84,8.04,0,5
273.15,1,7.8498,8.0498,0,5
273.15,1,7.8596,8.0596,0,5
273.15,1,7.8694,8.0694,0,5
273.15,1,7.8792,8.0792,0,5
273.15,1,7.889,8.089,0,5
273.15,1,7.8988,8.0988,0,5
273.15,1,7.9086,8.1086,0,5
273.15,1,7.9184,8.1184,0,5
273.15,1,7.9282,8.1282,0,5
273.15,1,7.938,8.138,0,5
273.15,1,7.9478,8.1478,0,5
273.15,1,7.9576,8.1576,0,5
273.15,1,7.9674,8.1674,0,5
273.15,1,7.9772,8.1772,0,5
273.15,1,7.987,8.187,0,5
273.15,1,7.9968,8.1968,0,5
273.15,1,8.0066,8.2066,0,5
273.15,1,8.0164,8.2164,0,5
273.15,1,8.0262,8.2262,0,5
273.15,1,8.036,8.236,0,5
273.15,1,8.0458,8.2458,0,5
273.15,1,8.0556,8.2556,0,5
273.15,1,8.0654,8.2654,0,5
273.15,1,8.0752,8.2752,0,5
273.15,1,8.085,8.285,0,5
273.15,1,8.0948,8.2948,0,5
273.15,1,8.1046,8.3046,0,5
273.15,1,8.1144,8.3144,0,5
273.15,1,8.1242,8.3242,0,5
273.15,1,8.134,8.334,0,5
273.15,1,8.1438,8.3438,0,5
273.15,1,8.1536,8.3536,0,5
273.15,1,8.1634,8.3634,0,5
273.15,1,8.1732,8.3732,0,5
273.15,1,8.183,8.383,0,5
273.15,1,8.1928,8.3928,0,5
273.15,1,8.2026,8.4026,0,5
273.15,1,8.2124,8.4124,0,5
273.15,1,8.2222,8.4222,0,5
273.15,1,8.232,8.432,0,5
273.15,1,8.2418,8.4418,0,5
273.15,1,8.2516,8.4516,0,5
273.15,1,8.2614,8.4614,0,5
273.15,1,8.2712,8.4712,0,5
273.15,1,8.281,8.481,0,5
273.15,1,8.2908,8.4908,0,5
273.15,1,8.3006,8.5006,0,5
273.15,1,8.3104,8.5104,0,5
273.15,1,8.3202,8.5202,0,5
273.15,1,8.33,8.53,0,5
273.15,1,8.3398,8.5398,0,5
273.15,1,8.3496,8.5496,0,5
273.15,1,8.3594,8.5594,0,5
273.15,1,8.3692,8.5692,0,5
273.15,1,8.379,8.579,0,5
273.15,1,8.3888,8.5888,0,5
273.15,1,8.3986,8.5986,0,5
273.15,1,8.4084,8.6084,0,5
273.15,1,8.4182,8.6182,0,5
273.15,1,8.428,8.628,0,5
273.15,1,8.4378,8.6378,0,5
273.15,1,8.4476,8.6476,0,5
273.15,1,8.4574,8.6574,0,5
273.15,1,8.4672,8.6672,0,5
273.15,1,8.477,8.677,0,5
273.15,1,8.4868,8.6868,0,5
273.15,1,8.4966,8.6966,0,5
273.15,1,8.5064,8.7064,0,5
273.15,1,8.5162,8.7162,0,5
273.15,1,8.526,8.726,0,5
273.15,1,8.5358,8.7358,0,5
273.15,1,8.5456,8.7456,0,5
273.15,1,8.5554,8.7554,0,5
273.15,1,8.5652,8.7652,0,5
273.15,1,8.575,8.775,0,5
273.15,1,8.5848,8.7848,0,5
273.15,1,8.5946,8.7946,0,5
273.15,1,8.6044,8.8044,0,5
273.15,1,8.6142,8.8142,0,5
273.15,1,8.624,8.824,0,5
273.15,1,8.6338,8.8338,0,5
273.15,1,8.6436,8.8436,0,5
273.15,1,8.6534,8.8534,0,5
273.15,1,8.6632,8.8632,0,5
273.15,1,8.673,8.873,0,5
273.15,1,8.6828,8.8828,0,5
273.15,1,8.6926,8.8926,0,5
273.15,1,8.7024,8.9024,0,5
273.15,1,8.7122,8.9122,0,5
273.15,1,8.722,8.922,0,5
273.15,1,8.7318,8.9318,0,5
273.15,1,8.7416,8.9416,0,5
273.15,1,8.7514,8.9514,0,5
273.15,1,8.7612,8.9612,0,5
273.15,1,8.771,8.971,0,5
273.15,1,8.7808,8.9808,0,5
273.15,1,8.7906,8.9906,0,5
273.15,1,8.8004,9.0004,0,5
273.15,1,8.8102,9.0102,0,5
273.15,1,8.82,9.02,0,5
273.15,1,8.8298,9.0298,0,5
273.15,1,8.8396,9.0396,0,5
273.15,1,8.8494,9.0494,0,5
273.15,1,8.8592,9.0592,0,5
273.15,1,8.869,9.069,0,5
273.15,1,8.8788,9.0788,0,5
273.15,1,8.8886,9.0886,0,5
273.15,1,8.8984,9.0984,0,5
273.15,1,8.9082,9.1082,0,5
273.15,1,8.918,9.118,0,5
273.15,1,8.9278,9.1278,0,5
273.15,1,8.9376,9.1376,0,5
273.15,1,8.9474,9.1474,0,5
273.15,1,8.9572,9.1572,0,5
273.15,1,8.967,9.167,0,5
273.15,1,8.9768,9.1768,0,5
273.15,1,8.9866,9.1866,0,5
273.15,1,8.9964,9.1964,0,5
273.15,1,9.0062,9.2062,0,5
273.15,1,9.016,9.216,0,5
273.15,1,9.0258,9.2258,0,5
273.15,1,9.0356,9.2356,0,5
273.15,1,9.0454,9.2454,0,5
273.15,1,9.0552,9.2552,0,5
273.15,1,9.065,9.265,0,5
273.15,1,9.0748,9.2748,0,5
273.15,1,9.0846,9.2846,0,5
273.15,1,9.0944,9.2944,0,5
273.15,1,9.1042,9.3042,0,5
273.15,1,9.114,9.314,0,5
273.15,1,9.1238,9.3238,0,5
273.15,1,9.1336,9.3336,0,5
273.15,1,9.1434,9.3434,0,5
273.15,1,9.1532,9.3532,0,5
273.15,1,9.163,9.363,0,5
273.15,1,9.1728,9.3728,0,5
273.15,1,9.1826,9.3826,0,5
273.15,1,9.1924,9.3924,0,5
273.15,1,9.2022,9.4022,0,5
273.15,1,9.212,9.412,0,5
273.15,1,9.2218,9.4218,0,5
273.15,1,9.2316,9.4316,0,5
273.15,1,9.2414,9.4414,0,5
273.15,1,9.2512,9.4512,0,5
273.15,1,9.261,9.461,0,5
273.15,1,9.2708,9.4708,0,5
273.15,1,9.2806,9.4806,0,5
273.15,1,9.2904,9.4904,0,5
273.15,1,9.3002,9.5002,0,5
273.15,1,9.31,9.51,0,5
273.15,1,9.3198,9.5198,0,5
273.15,1,9.3296,9.5296,0,5
273.15,1,9.3394,9.5394,0,5
273.15,1,9.3492,9.5492,0,5
273.15,1,9.359,9.559,0,5
273.15,1,9.3688,9.5688,0,5
273.15,1,9.3786,9.5786,0,5
273.15,1,9.3884,9.5884,0,5
273.15,1,9.3982,9.5982,0,5
273.15,1,9.408,9.608,0,5
273.15,1,9.4178,9.6178,0,5
273.15,1,9.4276,9.6276,0,5
273.15,1,9.4374,9.6374,0,5
273.15,1,9.4472,9.6472,0,5
273.15,1,9.457,9.657,0,5
273.15,1,9.4668,9.6668,0,5
273.15,1,9.4766,9.6766,0,5
273.15,1,9.4864,9.6864,0,5
273.15,1,9.4962,9.6962,0,5
273.15,1,9.506,9.706,0,5
273.15,1,9.5158,9.7158,0,5
273.15,1,9.5256,9.7256,0,5
273.15,1,9.5354,9.7354,0,5
273.15,1,9.5452,9.7452,0,5
273.15,1,9.555,9.755,0,5
273.15,1,9.5648,9.7648,0,5
273.15,1,9.5746,9.7746,0,5
273.15,1,9.5844,9.7844,0,5
273.15,1,9.5942,9.7942,0,5
273.15,1,9.604,9.804,0,5
273.15,1,9.6138,9.8138,0,5
273.15,1,9.6236,9.8236,0,5
273.15,1,9.6334,9.8334,0,5
273.15,1,9.6432,9.8432,0,5
273.15,1,9.653,9.853,0,5
273.15,1,9.6628,9.8628,0,5
273.15,1,9.6726,9.8726,0,5
273.15,1,9.6824,9.8824,0,5
273.15,1,9.6922,9.8922,0,5
273.15,1,9.702,9.902,0,5
273.15,1,9.7118,9.9118,0,5
273.15,1,9.7216,9.9216,0,5
273.15,1,9.7314,9.9314,0,5
273.15,1,9.7412,9.9412,0,5
273.15,1,9.751,9.951,0,5
273.15,1,9.7608,9.9608,0,5
273.15,1,9.7706,9.9706,0,5
273.15,1,9.7804,9.9804,0,5
273.15,1,9.7902,9.9902,0,5
273.15,1,9.8,10,0,5
